                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.54766,                0.33657,                0.84653,                0.90481,                0.84167,                0.90802,                0.69814,                 0.9229,                0.58533,                 1.0436,              0.0001792,              0.0001792,              0.0001792
                    130,                 0.5335,                0.33233,                0.83804,                0.92552,                0.82847,                0.91063,                0.69281,                0.92789,                0.55736,                 1.0395,             0.00017601,             0.00017601,             0.00017601
                    131,                0.52565,                0.32849,                0.84906,                0.92851,                0.84417,                0.91159,                 0.6959,                0.94126,                0.56796,                 1.0508,             0.00017285,             0.00017285,             0.00017285
                    132,                0.53346,                0.32755,                0.84515,                0.91822,                0.85167,                0.91087,                0.68011,                 1.0056,                0.58468,                 1.0856,             0.00016972,             0.00016972,             0.00016972
                    133,                0.52513,                 0.3307,                0.84242,                0.92081,                0.84833,                0.91297,                0.69281,                0.96805,                0.56213,                 1.0814,             0.00016661,             0.00016661,             0.00016661
                    134,                0.52979,                0.32738,                0.85094,                0.89475,                  0.865,                0.91063,                 0.6684,                 1.0162,                0.58178,                 1.0895,             0.00016352,             0.00016352,             0.00016352
                    135,                0.54694,                0.33441,                0.84172,                0.90861,                0.84167,                0.90856,                0.68649,                0.94957,                0.60086,                 1.0547,             0.00016047,             0.00016047,             0.00016047
                    136,                0.51074,                 0.3199,                0.83868,                0.87927,                0.85667,                0.90392,                0.67212,                0.95856,                0.62309,                 1.0708,             0.00015744,             0.00015744,             0.00015744
                    137,                 0.5424,                0.33062,                0.84505,                0.88714,                0.84833,                0.90318,                0.68923,                0.94455,                0.62224,                 1.0657,             0.00015444,             0.00015444,             0.00015444
                    138,                0.53503,                 0.3364,                0.84858,                0.89325,                 0.8507,                0.90705,                0.69311,                0.95079,                0.61162,                  1.062,             0.00015147,             0.00015147,             0.00015147
                    139,                0.50977,                0.32399,                0.83482,                0.90607,                0.82667,                0.90606,                0.69593,                0.94829,                0.61787,                 1.0629,             0.00014853,             0.00014853,             0.00014853
                    140,                0.51276,                0.32504,                0.83881,                0.88085,                0.84333,                0.89794,                0.67807,                0.96388,                0.61915,                 1.0608,             0.00014562,             0.00014562,             0.00014562
                    141,                0.51584,                0.32252,                 0.8408,                0.89051,                0.84048,                0.89796,                0.67903,                0.93287,                0.61265,                 1.0443,             0.00014275,             0.00014275,             0.00014275
